object_id,Z,SpecType_Code,target
ris_perian_Tawarwaith,0.4146,0,0
rist_anwar_amlug,0.2454,3,0
roch_hal_eryn,1.379,0,0
roch_magol_luin,0.8191,0,0
rochben_roch_naer,0.3472,0,0
rom_cae_mil,0.8086,0,0
rom_lass_laug,0.5683,7,0
romru_elvellon_alph,0.3065,7,0
rudh_achas_lachenn,0.9021,0,0
ruith_nell_alph,0.4689,7,0
ruith_nur_aranarth,0.2025,3,0
ryn_amarth_rhach,1.18,0,0
saig_nagol_rodwen,0.1517,7,0
salph_iar_merilin,0.3409,7,0
sammar_luin_rom,0.4041,7,0
soga_forodrim_aith,0.7238,0,0
soga_galad_amon,0.3023,7,0
suil_sogannen_bain,0.4731,15,1
talraph_anann_nestad,0.7502,0,0
tang_aranarth_gwanur,1.047,0,0
tavor_hud_parf,0.2845,7,0
tavor_luin_espalass,0.8608,0,0
thamas_hud_cuil,0.2896,15,1
thul_iar_lalaith,0.2996,7,0
tinnu_maen_gaurwaith,0.4968,0,0
tirith_randir_gwanur,0.1494,7,0
tobas_Elrim_salph,0.2758,15,1
tobas_hub_glandagol,0.3751,0,0
uir_edlothiad_espalass,0.9238,0,0
uruk_narthan_lin,0.3303,0,0
ylf_gath_dannas,0.3067,3,0
Druadan_rodwen_bragol,0.3249,15,1
Elrim_harad_menel,0.7035,15,1
Eluwaith_nestad_in,0.1411,0,0
Ennor_nimp_rovalug,0.9656,0,0
Rochirrim_dunadan_annon,0.4505,7,0
Rochirrim_pennas_fervain,0.3651,7,0
aes_faun_melethron,0.3338,7,0
agor_galenas_pod,1.658,0,0
agor_gaurwaith_hervenn,0.5263,0,0
ah_eirien_mithren,0.3297,7,0
aiglos_iphant_corf,1.243,0,0
amath_lobor_rhun,0.3376,7,0
amloth_gaw_lalaith,0.3638,7,0
amloth_talraph_puig,0.1386,0,0
angos_rochir_aras,0.3213,15,1
ank_raegdan_iaun,0.8888,3,0
araf_gwaun_nagol,0.1737,0,0
aran_lin_gwaun,0.5582,0,0
badhor_mirdan_hwiniol,1.291,0,0
bass_thamas_galadhrim,1.915,0,0
bellas_nell_amath,0.9208,0,0
bellas_rochben_aith,0.8892,3,0
bragol_gwathui_gobennas,0.4944,6,0
bragol_ninglor_ank,0.3629,7,0
braig_dunedhel_elu,0.1851,0,0
calad_suil_badhor,0.9764,0,0
callon_daen_harad,0.3617,0,0
callon_pess_hand,0.4429,7,0
caras_uanui_merilin,0.2828,7,0
celeb_Ithil_cuin,0.4924,6,0
celon_agor_elu,0.8583,0,0
cirdan_araf_maecheneb,0.1988,3,0
cuin_corch_nothrim,0.3552,7,0
cuin_gondrath_aith,0.1376,0,0
cuin_pess_uir,0.6801,0,0
cund_Mirion_dunedhel,0.2263,0,0
dirnaith_heledh_minas,0.9246,0,0
dol_mirdan_adan,1.066,0,0
drafn_achas_rochben,0.2485,0,0
drego_amlug_galadhrim,0.3793,0,0
dunedhel_min_hub,0.4587,0,0
edlothiad_celeb_menel,0.3601,7,0
eilian_hud_lossen,0.2667,13,0
erchion_lend_lain,0.2004,7,0
eredh_nothrim_hador,0.3184,0,0
espalass_ryn_ist,0.4779,7,0
fast_cenedril_pod,0.2191,7,0
faun_heledh_onodrim,2.63,0,0
firiel_tinuviel_ennorath,0.6018,4,0
gador_galad_myril,0.7805,0,0
galadhrim_bellas_amarth,0.2464,7,0
gath_laes_gaur,0.4214,7,0
gaurwaith_tamin_ungol,0.3112,15,1
gaw_hador_peredhel,2.978,0,0
gellui_maecheneb_raef,0.7269,0,0
gil_mithren_luithien,0.7253,0,0
glandagol_dunadan_min,0.3877,0,0
glass_menel_rudh,0.3169,7,0
glass_nidh_cenedril,0.7997,0,0
gobennas_gondrath_puig,0.2942,7,0
gond_Mirion_lain,2.28,0,0
gondrath_haudh_mund,0.591,0,0
gorn_lebenedh_bregedur,0.2083,0,0
gorn_narthan_agar,0.3135,0,0
grond_ogol_pennas,0.5995,4,0
gul_celon_gond,0.2138,0,0
gul_eirien_anwar,0.2749,0,0
gwanur_Gwathuirim_Rochirrim,0.8757,0,0
gwanur_thul_firion,0.2865,0,0
gwarth_bellas_glamor,0.3249,15,1
gwend_grond_Mithrim,0.5089,7,0
harad_archam_cae,2.625,0,0
harad_rochben_forodrim,0.2032,3,0
harad_tirith_mithren,0.3465,15,1
haradrim_fae_maecheneb,0.4347,7,0
haudh_pod_maecheneb,0.1868,0,0
helegnen_faradrim_cae,0.786,15,1
hervenn_rhosc_honeg,0.7202,0,0
hervenn_tang_callon,0.2768,0,0
hervess_bellas_aiglos,0.4829,6,0
honeg_fern_saig,0.9922,0,0
honeg_romru_soga,0.2863,0,0
hud_bregedur_rist,0.3306,15,1
idhren_aear_min,0.7894,0,0
idhren_paich_merilin,1.192,0,0
ithron_andrann_lebdas,0.3655,0,0
lacha_Ennor_ogol,0.1557,0,0
lachenn_dirnaith_gwador,1.404,0,0
lachenn_imlad_cugu,0.6652,4,0
laer_rusc_uruk,0.7135,0,0
lain_imlad_salph,0.9622,0,0
lain_tinuviel_aduial,0.1681,0,0
lam_aeruil_muinthel,0.3837,7,0
lam_anann_gador,0.821,3,0
law_ithildin_andrann,1.503,0,0
law_pent_sammar,0.3708,0,0
lorn_thul_gwathui,0.2045,3,0
loss_iaun_gwael,0.8871,0,0
loss_laer_amloth,1.36,0,0
loss_toll_perian,0.3681,0,0
lossen_aear_faun,0.2633,0,0
luith_fast_aear,1.466,0,0
maethor_tobas_laug,0.9321,0,0
magol_mund_baug,0.3846,7,0
magor_hend_amarth,1.437,0,0
melethron_graw_imrath,0.3006,15,1
menel_hervess_lend,1.025,0,0
mereth_faun_bass,0.4729,6,0
mereth_lachenn_heleg,0.312,0,0
min_noroth_manadh,1.559,0,0
minai_uruk_rochir,2.404,0,0
minas_lain_cirion,0.253,7,0
mindon_tang_firion,0.4086,7,0
minuial_meril_salab,0.297,7,0
morgul_ennorath_magor,0.3196,7,0
morn_sogannen_midh,0.3699,7,0
muinthel_iphant_tathar,0.8457,0,0
nadhras_galas_nestad,0.3673,7,0
nagol_lavan_salab,0.4471,7,0
nana_Mithrim_fuin,1.412,0,0
nana_lost_luin,0.6367,7,0
narthan_hub_daen,1.14,0,0
nimbrethil_fern_aphadrim,0.9411,0,0
noroth_hend_grond,0.2731,7,0
nothrim_ninglor_tinuviel,0.7797,0,0
paich_ithildin_gorn,1.215,0,0
panas_magol_loss,0.2972,7,0
panas_pilin_ah,0.3098,0,0
parf_Ennor_idhren,0.9657,0,0
pennas_baneth_ingem,1.504,0,0
per_baug_cund,1.055,0,0
pess_ank_cabor,0.2804,0,0
rach_Gonhir_rom,0.5278,0,0
raef_lossen_panas,1.553,0,0
ram_haeron_imrath,0.921,0,0
raug_parf_ungol,0.54,0,0
rhach_aeglir_midh,0.516,6,0
rhach_aeruil_glandagol,0.3403,0,0
rhosc_menel_eirien,0.1963,0,0
rhosc_meril_uir,0.2417,13,0
rhun_anwar_iaun,0.3371,15,1
rhun_gwador_toll,0.4661,7,0
rist_lacha_hal,0.3501,7,0
rochir_Sindarin_merilin,0.2753,7,0
rovalug_adel_tamin,0.1927,7,0
rovalug_drego_lachenn,1.728,0,0
rovalug_imlad_alagos,0.466,0,0
rudh_hul_cair,1.535,0,0
ruith_rochben_aes,1.509,0,0
rusc_erchion_balrog,0.3275,15,1
saelor_glass_cenedril,0.7644,15,1
saer_imrath_gorn,0.3642,7,0
saig_Rochirrim_haust,0.595,0,0
saig_sammar_faen,3.442,0,0
sammar_gond_fast,1.147,0,0
sirion_lobor_angos,0.3241,7,0
soga_yll_cirdan,0.2745,0,0
talraph_glamor_galad,1.374,0,0
tathar_noroth_thor,0.6992,0,0
thamas_gwilwileth_cund,0.2436,13,0
thamas_minas_tavor,0.8432,0,0
thamas_sammar_ira,1.566,0,0
thangail_fae_riel,0.9686,0,0
thor_cabor_eilian,0.3599,7,0
thor_ennorath_iar,0.479,0,0
thor_lobor_hand,0.2534,7,0
thul_neledh_nur,0.355,0,0
tinuviel_randir_cuil,0.4636,6,0
tinuviel_tamin_melethron,0.3637,7,0
tirith_amath_mil,0.171,0,0
Druadan_lorn_morgul,1.027,0,0
Eluwaith_lain_curunir,0.2313,7,0
Eru_saelor_tegilbor,0.8868,15,1
Mithrim_merilin_gwachaedir,0.4973,7,0
Rochirrim_pent_gil,0.4917,7,0
Sindarin_rusc_glamog,0.1683,3,0
acharn_nost_mil,0.4679,7,0
acharn_uir_bregedur,0.2427,7,0
adab_Gonhir_gwanur,1.805,0,0
adar_inias_hand,0.2823,0,0
aerlinn_raef_nimbrethil,0.5853,7,0
aes_perian_fae,0.7027,0,0
aes_rhovan_erchion,0.2652,0,0
ah_fervain_Ennor,1.11,0,0
ah_mir_Mithrim,0.4663,0,0
amarth_ai_Gonhir,0.3553,7,0
amarth_heledir_gil,0.8177,0,0
amath_celon_agarwaen,1.393,0,0
anann_rom_anwar,0.5453,0,0
angos_tamin_haust,0.8678,0,0
ank_fast_luithien,0.3897,7,0
ank_glandagol_law,0.4885,0,0
anwar_gas_gaw,0.3641,0,0
aphadrim_lain_minai,1.108,0,0
aran_aear_muinthel,1.5,0,0
aras_Elrim_Gwathuirim,0.893,0,0
badhor_firiel_tinnu,0.2127,7,0
bain_gobennas_minas,0.9152,0,0
cabor_paich_galad,1.013,0,0
calad_laug_erchion,0.3213,0,0
callon_thangail_aerlinn,0.372,7,0
certh_adel_imlad,0.3687,9,0
certh_curunir_luith,0.4155,0,0
cirdan_luith_maethor,0.2899,7,0
cirion_cair_echad,1.067,0,0
cugu_ruith_toll,1.023,0,0
cuil_magor_andrann,0.7353,0,0
daen_saelor_gil,0.579,0,0
dagnir_archam_raegdan,1.102,0,0
edlothiad_Ennor_graw,0.9145,0,0
elvellon_gador_fern,0.2687,0,0
erchion_lobor_hwiniol,0.8859,15,1
eryn_roch_tann,0.3143,7,0
fang_aegas_fervain,0.8779,0,0
faradrim_yll_honeg,0.274,0,0
faun_faradrim_cae,0.3749,7,0
fern_lagor_guldur,1.348,0,0
fervain_tamin_firion,1.861,0,0
firiel_maen_sirion,0.2202,7,0
forodrim_dunedhel_galadhrim,1.115,0,0
fuin_helegnen_rochir,0.5743,0,0
galadhrim_aderthad_balrog,1.167,0,0
galadhrim_inias_Dornhoth,1.046,0,0
galadhrim_uruk_gwend,0.9862,0,0
galvorn_gador_braig,1.72,0,0
gas_magol_idhren,0.4296,8,0
gil_amdir_corf,0.2896,0,0
gilgalad_nidh_mir,0.473,0,0
glaur_Rochirrim_aeglir,2.238,0,0
gwador_pent_faun,1.158,0,0
gwaloth_aith_ulug,0.2051,7,0
gwanur_adar_anwar,0.3739,7,0
gwarth_lin_lasguil,0.3165,0,0
gwarth_rach_magor,1.074,0,0
gwathui_gwael_heron,0.4153,7,0
gwathui_navaer_glaur,1.012,15,1
gwaun_naer_tamin,0.4049,0,0
gwend_dol_inias,0.8115,0,0
gwend_harad_lalaith,1.175,0,0
gwilwileth_cair_tavor,0.7185,0,0
hadhod_ram_calad,0.6482,0,0
hal_alae_suil,1.148,0,0
hast_eryn_ah,1.005,0,0
haust_vin_uan,0.27,7,0
heleg_agar_melethron,0.8745,0,0
helegnen_idhren_hul,0.3011,0,0
helegnen_tachol_corf,0.5867,0,0
imrad_lebed_corf,0.1954,7,0
imrath_gaurwaith_mil,0.5669,0,0
in_hervenn_malad,0.7953,0,0
lain_bronwe_tamin,0.5517,0,0
lain_gilgalad_pess,0.1979,7,0
lam_gwanur_lin,0.7448,0,0
lam_lathron_talraph,0.3745,0,0
laug_imrath_gaur,0.9357,0,0
lebed_nadhras_iphant,0.6444,0,0
lebenedh_imrad_adab,0.2608,0,0
lebenedh_law_gwaloth,0.271,0,0
lhug_amlug_ithildin,0.547,7,0
lin_cirion_maecheneb,0.3497,7,0
lossen_rovalug_luithien,2.28,0,0
luin_thor_aear,0.4488,0,0
lunt_gwend_imrath,0.53,7,0
magol_hador_thor,0.1649,3,0
magor_aiglos_amon,1.174,0,0
melethron_drafn_Gwathuirim,0.3518,0,0
mil_emel_mir,0.4087,0,0
min_heleg_pethron,0.6968,0,0
morgul_lembas_dam,0.4037,7,0
muil_bragol_aeruil,0.6255,0,0
muil_inias_dunadan,0.5594,0,0
muinthel_aegas_Druadan,1.365,0,0
muinthel_cuil_uan,1.97,0,0
mund_parf_Eru,0.1189,5,0
nana_celeb_fast,0.2925,0,0
narthan_puig_haeron,0.296,7,0
nell_dam_guldur,0.8129,0,0
nell_rusc_roch,0.7213,0,0
nestad_sogannen_gobennas,0.9296,0,0
nidh_pendrath_dunedhel,2.303,0,0
nim_cuin_saer,0.977,0,0
nimp_tamin_alagos,1.199,0,0
ninglor_ank_helegnen,0.5953,0,0
nost_tachol_rom,0.6114,0,0
nur_angos_gaurwaith,0.3533,0,0
pent_gobennas_achas,0.1913,7,0
perian_gwaun_minuial,0.6348,0,0
pilin_minai_bellas,0.6522,0,0
ram_ogol_cuil,0.5709,0,0
riel_edlothiad_elvellon,1.868,0,0
ris_heledh_Tawarwaith,0.2926,0,0
ris_hud_magor,0.285,0,0
rochir_eirien_tann,0.4236,0,0
romru_Gwathuirim_per,1.368,0,0
romru_ithildin_alagos,0.5738,0,0
ruith_bain_gwachaedir,0.9649,0,0
rusc_emel_rist,0.791,0,0
sador_bass_tinuviel,0.7934,0,0
saer_ylf_hervess,0.5495,0,0
saew_aglareb_rhun,0.9365,0,0
saig_forodrim_bass,1.599,0,0
tang_Gwathuirim_aerlinn,1.923,0,0
thamas_pethron_eilian,0.806,0,0
thangail_aran_adan,2.616,0,0
thangail_rhun_meldir,0.6349,0,0
uan_bellas_iaun,0.7813,0,0
ulug_espalass_muil,1.005,0,0
vin_celeb_ruith,0.3248,7,0
Dornhoth_rist_lalaith,0.2716,0,0
Elrim_firiel_soga,0.5487,7,0
Elrim_heledir_fervain,0.2919,7,0
Gwathuirim_meldir_fuin,0.4287,15,1
Ithil_uanui_Eluwaith,1.199,0,0
Mirion_baug_angos,0.5798,0,0
Sindarin_araf_pilin,0.3755,15,1
adar_amlug_eryn,1.552,0,0
adel_glae_melethron,0.2226,7,0
aderthad_ulug_nadhras,0.8129,0,0
aduial_anann_aphadrim,0.2698,0,0
aerlinn_nagol_bellas,1.176,0,0
agor_araf_faradrim,1.514,0,0
amloth_pess_gwathui,0.5239,7,0
amon_cirion_annon,0.4065,15,1
angos_celon_lain,0.7692,0,0
ank_heledh_rudh,0.6939,0,0
anwar_gilgalad_luith,0.1952,15,1
anwar_raef_fervain,0.5514,0,0
aranarth_gwilwileth_laer,0.5723,7,0
aras_minai_yll,0.7203,0,0
aras_rusc_rhovan,1.64,0,0
archam_calad_lossen,1.103,0,0
badhor_rhach_rach,0.4826,7,0
balrog_gil_rhosc,3.577,0,0
barad_nur_gobennas,0.6993,0,0
corf_annon_talraph,0.1849,0,0
cugu_mund_celeb,2.531,0,0
cund_gath_loss,0.3569,7,0
cund_lathron_galenas,0.5138,7,0
cyron_amlug_lebenedh,0.2994,7,0
dannas_gul_bronwe,0.1661,0,0
dol_adan_dunadan,1.313,0,0
drafn_mund_mithren,1.876,0,0
draug_drafn_gwend,1.216,0,0
eirien_Druadan_ingem,0.866,15,1
eirien_uruk_cirdan,0.505,7,0
elu_certh_lam,1.462,0,0
emel_annon_aith,0.4016,7,0
erchion_alagos_thurin,1.488,0,0
eryn_saig_cirdan,0.3092,0,0
fang_gwilwileth_uan,0.4236,3,0
fang_thamas_eirien,0.2281,15,1
fern_aerlinn_rhovan,0.3341,7,0
firion_erchion_glae,0.5151,0,0
forodrim_Mirion_balrog,3.607,0,0
forodrim_navaer_rhach,0.5377,0,0
fuin_ryn_amdir,0.378,15,1
gador_Tawarwaith_rhovan,0.6479,1,0
gaur_barad_faradrim,1.06,0,0
gaur_galas_rach,1.295,0,0
gaurwaith_ira_fast,1.331,0,0
gilgalad_nothrim_alph,2.66,0,0
glae_aear_minai,0.4988,7,0
glae_anwar_adab,0.6105,0,0
glandagol_gwael_gaur,0.6077,0,0
gli_cirdan_lobor,0.6518,1,0
graw_anann_uir,0.6724,0,0
gwael_saer_lebenedh,1.286,0,0
gwarth_lorn_lost,0.7476,0,0
gwilwileth_dirnaith_lagor,0.5357,7,0
hadhod_annon_agarwaen,0.2918,7,0
haeron_pendrath_gwaloth,0.371,0,0
haradrim_pess_gwarth,0.3395,7,0
haust_fuin_paich,0.5015,7,0
helegnen_rovalug_anwar,0.4126,7,0
hervenn_Gonhir_eryn,0.8497,0,0
hervenn_alae_braig,0.4702,7,0
hud_uanui_ira,1.47,0,0
iaun_gil_cuin,0.4549,7,0
imlad_heron_lang,0.5849,0,0
ist_erchion_cyron,0.2942,7,0
ithron_galvorn_gaur,0.8662,15,1
lacha_amlug_braig,0.5099,0,0
lacha_duin_uanui,2.534,0,0
lachenn_galenas_tamin,0.2822,7,0
laer_gellui_gador,0.7893,0,0
lam_aegas_romru,1.004,0,0
lass_suil_aiglos,0.3407,0,0
lavan_peredhel_pilin,0.8201,0,0
law_soga_Tawarwaith,1.535,0,0
lebdas_noroth_ang,0.7189,0,0
lebenedh_aith_aear,0.8855,0,0
lembas_hast_helegnen,1.318,0,0
lobor_gwachaedir_emel,0.3022,7,0
lost_muil_cabed,0.5056,0,0
lost_ulug_aeglir,1.585,0,0
lunt_thul_Sindarin,0.5853,0,0
maethor_ah_haeron,1.394,0,0
mereth_iphant_gil,0.2499,7,0
mil_ris_lain,0.461,7,0
minai_lebed_eilian,0.8714,0,0
morn_naer_fang,0.5327,0,0
muil_Gwathuirim_espalass,0.3008,7,0
nana_aith_eglan,0.945,0,0
narthan_suil_araf,0.6253,0,0
neledh_nell_cuin,0.3018,7,0
nell_ithildin_uir,0.2482,3,0
nestad_ablad_rach,0.3159,0,0
nidh_ram_achas,0.3324,7,0
nim_lossen_lang,0.2204,7,0
onodrim_dirnaith_minas,0.3016,6,0
onodrim_ulug_lobor,0.4543,7,0
panas_salph_raug,0.7663,0,0
panas_soga_gador,0.7455,0,0
peredhel_aeruil_forodrim,0.2503,3,0
perian_lagor_luithien,0.6232,0,0
pethron_Elrim_rochben,0.3136,7,0
pethron_neledh_glae,0.7648,0,0
pod_gondrath_archam,0.5202,7,0
pod_iar_celeb,0.4891,7,0
raef_Mirion_lebed,0.3738,15,1
randir_dam_ennorath,0.6376,1,0
rhosc_minai_hend,0.8029,0,0
rhosc_noroth_bragol,0.8452,0,0
rhun_fang_tavor,0.3947,7,0
rom_raef_lavan,1.336,0,0
ruith_cuil_fast,0.5186,0,0
rust_hador_parf,0.3582,7,0
ryn_thamas_imrath,0.9288,0,0
sador_lin_eilian,1.846,0,0
saer_aith_talraph,1.301,0,0
saig_idhren_daen,0.2465,3,0
salab_heledh_Rochirrim,0.3399,0,0
salab_hu_maethor,0.2857,6,0
salab_hwiniol_ira,0.2621,6,0
salab_tirith_Ithil,0.2083,15,1
sammar_idhren_nath,0.2974,7,0
sirion_peredhel_suil,0.4103,7,0
soga_hador_hadhod,0.381,7,0
soga_ylf_gas,0.5209,0,0
tachol_hast_lam,0.1764,0,0
tachol_saig_lorn,0.4721,7,0
thangail_dol_sirion,1.383,0,0
thangail_hend_nadhras,0.6356,0,0
thurin_aegas_bregedur,0.8084,15,1
thurin_pent_minuial,1.571,0,0
thurin_rust_luin,2.017,0,0
tobas_hun_peredhel,0.3831,15,1
tobas_narthan_min,0.8041,0,0
uan_gaur_maethor,0.628,0,0
ungol_limlug_tirith,0.544,7,0
ylf_gwador_eilian,1.436,0,0
ylf_suil_eirien,0.2745,0,0
yll_tamin_fern,1.337,0,0
Druadan_galadhrim_narthan,0.3089,7,0
Ithil_uan_hub,0.5287,0,0
Mithrim_lam_anann,0.09419,3,0
Rochirrim_gwael_muinthel,0.6462,0,0
achad_gwaloth_pilin,0.3973,7,0
achas_grond_pilin,0.7181,0,0
achas_saer_hand,0.4134,15,1
adab_magol_cyron,0.3819,7,0
adar_ang_eredh,1.312,0,0
aderthad_cirdan_Eluwaith,0.2161,7,0
aerlinn_aduial_aear,0.4359,0,0
aerlinn_gwarth_thor,0.3614,7,0
aeruil_rust_harad,0.3618,7,0
aes_eglan_glae,0.3017,0,0
agarwaen_Elrim_muinthel,1.03,0,0
agarwaen_cund_rhosc,0.7397,6,0
agarwaen_meldir_forodrim,0.1294,0,0
aglareb_gwarth_gli,0.2595,7,0
aglareb_uan_midh,0.2193,7,0
ah_eredh_annon,0.2847,7,0
ah_ryn_gellui,0.8428,0,0
ai_cirdan_uir,0.345,7,0
alae_lost_hu,0.7361,6,0
amath_cabor_minas,0.6097,0,0
angos_annon_aegas,0.9773,0,0
angos_hadhod_haudh,0.5615,7,0
angos_hast_hud,0.3967,0,0
araf_cabed_raef,0.4109,0,0
aras_gilgalad_tann,0.9347,0,0
bellas_tachol_hand,0.8807,0,0
bronwe_gath_tavor,0.7058,6,0
bronwe_manadh_firiel,1.036,0,0
cabor_duin_magor,0.3805,7,0
cabor_saelor_law,0.08709,3,0
callon_agar_gwilwileth,0.643,0,0
caras_amlug_neledh,0.2856,7,0
celair_daen_saew,0.2463,7,0
celair_salab_iar,0.3279,7,0
celeb_adar_aras,0.1258,0,0
celeb_heleg_archam,0.3729,7,0
celon_ist_agor,1.604,0,0
certh_galas_aphadrim,0.2612,0,0
cirdan_aerlinn_Eru,1.079,0,0
cirdan_tang_nidh,1.108,0,0
cirion_gond_amon,0.8378,0,0
cyron_mithril_barad,1.039,0,0
dagnir_achad_lebed,0.712,0,0
dirnaith_mithren_aeglir,0.2517,7,0
echad_alph_lagor,1.076,0,0
edlothiad_melethril_braig,0.5199,0,0
emel_galad_magor,1.116,0,0
ennorath_curunir_eryn,0.3736,7,0
eredh_saig_dunedhel,0.2519,7,0
eryn_archam_fern,0.5633,7,0
fae_lagor_gond,0.7314,0,0
fae_malad_gwend,1.831,0,0
fang_lain_acharn,2.991,0,0
fern_certh_pennas,0.3821,7,0
fuin_ang_panas,0.8631,0,0
fuin_sogannen_alagos,0.4084,7,0
gador_maethor_iphant,0.8583,0,0
galadh_mirdan_cuil,0.4651,7,0
galas_pent_haudh,0.4468,0,0
galenas_ablad_bregedur,0.2898,0,0
galvorn_ogol_aras,1.13,0,0
gas_Eru_hud,0.2007,7,0
gil_neledh_ris,0.4185,0,0
glamor_minuial_adel,0.2967,7,0
glaur_daen_magor,1.798,0,0
glaur_raug_rom,2.027,0,0
gli_naer_bronwe,0.3543,7,0
gli_nothrim_limlug,0.5131,7,0
gobennas_minai_haust,0.4945,0,0
gwador_saew_aphadrim,1.023,0,0
gwaun_loss_heleg,0.6895,0,0
gwend_aranarth_soga,0.4231,0,0
gwend_dunedhel_daen,0.414,0,0
gwend_fuin_ris,0.2415,7,0
